               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.041172,            0.014168,           0.0020225,             0.60074,             0.60714,             0.52137,              0.3649,            0.063317,           0.0075752,           0.0010656,           0.0033321,           0.0033321,           0.0033321
                  68,            0.039714,            0.017361,           0.0024251,             0.63893,             0.64286,             0.54117,             0.39932,            0.055426,           0.0076777,          0.00096935,           0.0032093,           0.0032093,           0.0032093
                  69,            0.039155,            0.013677,           0.0022851,             0.60574,             0.60714,             0.53295,             0.37266,            0.061163,           0.0079484,          0.00090784,           0.0030888,           0.0030888,           0.0030888
                  70,            0.035951,            0.015082,           0.0036633,             0.64015,             0.64286,             0.54295,             0.40511,            0.058992,           0.0079991,          0.00088315,           0.0029706,           0.0029706,           0.0029706
                  71,            0.039626,            0.015707,           0.0019939,             0.60675,             0.60714,             0.52293,             0.29097,            0.063027,           0.0083513,           0.0008545,            0.002855,            0.002855,            0.002855
                  72,            0.036778,            0.015866,           0.0029195,             0.60452,             0.60714,             0.52161,             0.40021,            0.056382,           0.0081099,          0.00086102,           0.0027419,           0.0027419,           0.0027419
                  73,            0.035792,            0.016186,           0.0031489,             0.60536,             0.60714,             0.52388,             0.31991,            0.068646,           0.0083355,          0.00086905,           0.0026316,           0.0026316,           0.0026316
                  74,            0.036346,            0.014142,           0.0024873,             0.67536,             0.67857,             0.56499,             0.41333,             0.05597,           0.0079582,          0.00088685,           0.0025241,           0.0025241,           0.0025241
                  75,            0.035462,            0.015456,           0.0015069,             0.60223,             0.60714,             0.52191,             0.37832,             0.05949,           0.0079354,          0.00093346,           0.0024195,           0.0024195,           0.0024195
                  76,            0.037705,             0.01649,           0.0016379,             0.59951,             0.60714,             0.52342,             0.41814,            0.056482,           0.0078643,          0.00093151,            0.002318,            0.002318,            0.002318
                  77,            0.035892,            0.015758,           0.0018687,              0.5999,             0.60712,             0.52659,             0.38917,            0.061566,           0.0078931,          0.00091138,           0.0022196,           0.0022196,           0.0022196
                  78,            0.035471,            0.015145,           0.0023817,             0.59889,             0.60714,             0.52659,             0.43112,            0.056781,           0.0077846,           0.0008854,           0.0021245,           0.0021245,           0.0021245
                  79,            0.033459,            0.013921,            0.001256,             0.60099,             0.60714,             0.52738,              0.3352,            0.060789,           0.0080069,          0.00083694,           0.0020327,           0.0020327,           0.0020327
                  80,             0.03557,            0.014475,            0.002979,             0.59847,             0.60714,             0.52666,             0.42309,            0.057924,           0.0079181,          0.00081794,           0.0019443,           0.0019443,           0.0019443
                  81,            0.035058,            0.014307,           0.0016065,             0.59874,             0.60714,             0.52668,             0.39993,            0.060191,            0.007994,          0.00080568,           0.0018594,           0.0018594,           0.0018594
                  82,             0.03281,            0.014394,           0.0028407,              0.6067,             0.60714,              0.5295,             0.39914,             0.05781,           0.0080852,            0.000786,           0.0017781,           0.0017781,           0.0017781
                  83,            0.034738,            0.013909,           0.0023057,             0.60664,             0.60714,             0.52799,             0.43244,            0.059733,           0.0079681,          0.00079214,           0.0017005,           0.0017005,           0.0017005
                  84,            0.034506,              0.0146,            0.001717,             0.60731,             0.60714,              0.5343,             0.38636,            0.059932,            0.007988,          0.00076742,           0.0016267,           0.0016267,           0.0016267
                  85,            0.033721,            0.015419,           0.0024719,             0.59944,             0.60714,             0.53296,             0.39564,             0.06218,           0.0079571,          0.00076818,           0.0015566,           0.0015566,           0.0015566
                  86,             0.03438,            0.014317,           0.0034262,             0.59971,             0.60714,             0.53292,             0.43091,            0.058688,           0.0078639,          0.00075654,           0.0014905,           0.0014905,           0.0014905
                  87,             0.03137,            0.013416,           0.0019595,             0.59879,             0.60714,             0.53295,              0.4292,            0.058444,           0.0078161,          0.00076522,           0.0014283,           0.0014283,           0.0014283
                  88,            0.031425,            0.014371,           0.0016934,             0.59809,             0.60714,             0.53303,             0.43154,            0.056376,           0.0079296,          0.00075647,           0.0013701,           0.0013701,           0.0013701
                  89,            0.034131,            0.014189,           0.0024382,             0.59694,             0.60714,             0.53307,             0.43509,            0.053922,           0.0079815,          0.00075203,            0.001316,            0.001316,            0.001316
                  90,            0.031462,            0.015838,           0.0021105,             0.59809,             0.60714,             0.53314,             0.38234,             0.05668,            0.008104,          0.00075257,            0.001266,            0.001266,            0.001266
                  91,            0.032162,            0.014107,           0.0022256,             0.59925,             0.60714,             0.53311,             0.38891,            0.057927,           0.0081832,           0.0007482,           0.0012202,           0.0012202,           0.0012202
                  92,             0.03036,            0.014353,           0.0028118,             0.60021,             0.60714,             0.53324,             0.39094,            0.056499,           0.0082422,           0.0007338,           0.0011787,           0.0011787,           0.0011787
                  93,            0.032484,            0.015585,           0.0028481,             0.60052,             0.60714,             0.53316,             0.41892,            0.057458,            0.008339,          0.00071236,           0.0011414,           0.0011414,           0.0011414
                  94,            0.031846,            0.014137,           0.0013945,             0.60075,             0.60714,             0.53317,             0.42097,            0.057807,           0.0082803,          0.00070415,           0.0011084,           0.0011084,           0.0011084
                  95,            0.031295,            0.014105,           0.0012465,             0.61005,             0.60714,             0.53434,             0.39082,            0.057222,           0.0082767,          0.00069667,           0.0010797,           0.0010797,           0.0010797
                  96,            0.031666,            0.014671,           0.0025444,             0.60787,             0.60714,             0.53435,             0.42146,            0.056259,           0.0080958,          0.00068662,           0.0010554,           0.0010554,           0.0010554
                  97,             0.03041,            0.014428,           0.0014637,             0.63458,             0.64286,             0.54864,             0.39902,            0.054564,           0.0080239,          0.00068882,           0.0010355,           0.0010355,           0.0010355
                  98,            0.030805,             0.01386,           0.0017218,             0.59956,             0.60714,             0.53308,             0.40595,            0.056453,           0.0079932,          0.00069473,             0.00102,             0.00102,             0.00102
                  99,            0.031921,            0.014445,           0.0019582,              0.5992,             0.60714,             0.53303,             0.41283,            0.056919,           0.0079318,          0.00070364,           0.0010089,           0.0010089,           0.0010089
